Flux report generated at: 25-Nov-2012 18:20:47 
Model: SCHUETZR Objective: BM Constraints: Default 
Number of computed fluxes outside experimental uncertainty bounds: 21 
  Ex rxn # 	 Comp. flux 	  Exp. flux 	      Diff. 	 Exp. uncert. 	 Diff./uncert.
          1 	  10.000000 	   7.700000 	  -2.300000 	   0.100000 	 -23.000000
          2 	   4.679786 	   2.300000 	  -2.379786 	   0.100000 	 -23.797855
          3 	   4.679786 	   2.000000 	  -2.679786 	   0.100000 	 -26.797855
          4 	   4.934327 	   5.400000 	   0.465673 	   0.100000 	   4.656731
          5 	  -0.000000 	   0.300000 	   0.300000 	   0.100000 	   3.000000
          6 	   7.083618 	   6.200000 	  -0.883618 	   0.100000 	  -8.836183
          7 	   1.326057 	   0.500000 	  -0.826057 	   0.000000 	       -Inf
          8 	   0.905089 	   0.300000 	  -0.605089 	   0.000000 	       -Inf
          9 	   1.326057 	   0.500000 	  -0.826057 	   0.000000 	       -Inf
         10 	  14.932003 	  12.900000 	  -2.032003 	   0.200000 	 -10.160014
         11 	  13.926357 	  11.800000 	  -2.126357 	   0.200000 	 -10.631783
         12 	   0.000000 	   9.200000 	   9.200000 	   0.200000 	  46.000000
         13 	   6.526495 	   7.900000 	   1.373505 	   0.200000 	   6.867524
         14 	   3.343683 	   1.900000 	  -1.443683 	   0.200000 	  -7.218415
         15 	   2.979019 	   1.900000 	  -1.079019 	   0.200000 	  -5.395096
         16 	   1.482243 	   1.100000 	  -0.382243 	   0.200000 	  -1.911216
         17 	   1.846907 	   1.100000 	  -0.746907 	   0.200000 	  -3.734535
         18 	   2.211571 	   0.800000 	  -1.411571 	   0.200000 	  -7.057854
         19 	  -0.000000 	   0.200000 	   0.200000 	   0.100000 	   2.000000
         20 	   0.000000 	   0.000000 	  -0.000000 	   0.000000 	       -Inf
         21 	   3.061550 	   2.100000 	  -0.961550 	   0.100000 	  -9.615499
         22 	   0.000000 	   4.600000 	   4.600000 	   0.200000 	  23.000000
         23 	  -6.020302 	  -4.000000 	   2.020302 	   0.700000 	   2.886146
         24 	  12.243493 	  10.900000 	  -1.343493 	   0.700000 	  -1.919275
         25 	   1.169356 	   0.640000 	  -0.529356 	   0.010000 	 -52.935620
         26 	   0.364664 	   0.000000 	  -0.364664 	   0.000000 	       -Inf
         27 	   0.000000 	   0.000000 	  -0.000000 	   0.000000 	       -Inf
         28 	  -0.000000 	   0.000000 	   0.000000 	   0.000000 	        Inf
Flux report generated at: 25-Nov-2012 18:46:05 
Model: SCHUETZR Objective: BM Constraints: Default 
Number of computed fluxes outside experimental uncertainty bounds: 21 
  Ex rxn # 	 Comp. flux 	  Exp. flux 	      Diff. 	 Exp. uncert. 	 Diff./uncert.
          1 	  10.000000 	   7.700000 	  -2.300000 	   0.100000 	 -23.000000
          2 	   4.679786 	   2.300000 	  -2.379786 	   0.100000 	 -23.797855
          3 	   4.679786 	   2.000000 	  -2.679786 	   0.100000 	 -26.797855
          4 	   4.934327 	   5.400000 	   0.465673 	   0.100000 	   4.656731
          5 	  -0.000000 	   0.300000 	   0.300000 	   0.100000 	   3.000000
          6 	   7.083618 	   6.200000 	  -0.883618 	   0.100000 	  -8.836183
          7 	   1.326057 	   0.500000 	  -0.826057 	   0.000000 	       -Inf
          8 	   0.905089 	   0.300000 	  -0.605089 	   0.000000 	       -Inf
          9 	   1.326057 	   0.500000 	  -0.826057 	   0.000000 	       -Inf
         10 	  14.932003 	  12.900000 	  -2.032003 	   0.200000 	 -10.160014
         11 	  13.926357 	  11.800000 	  -2.126357 	   0.200000 	 -10.631783
         12 	   0.000000 	   9.200000 	   9.200000 	   0.200000 	  46.000000
         13 	   6.526495 	   7.900000 	   1.373505 	   0.200000 	   6.867524
         14 	   3.343683 	   1.900000 	  -1.443683 	   0.200000 	  -7.218415
         15 	   2.979019 	   1.900000 	  -1.079019 	   0.200000 	  -5.395096
         16 	   1.482243 	   1.100000 	  -0.382243 	   0.200000 	  -1.911216
         17 	   1.846907 	   1.100000 	  -0.746907 	   0.200000 	  -3.734535
         18 	   2.211571 	   0.800000 	  -1.411571 	   0.200000 	  -7.057854
         19 	  -0.000000 	   0.200000 	   0.200000 	   0.100000 	   2.000000
         20 	   0.000000 	   0.000000 	  -0.000000 	   0.000000 	       -Inf
         21 	   3.061550 	   2.100000 	  -0.961550 	   0.100000 	  -9.615499
         22 	   0.000000 	   4.600000 	   4.600000 	   0.200000 	  23.000000
         23 	  -6.020302 	  -4.000000 	   2.020302 	   0.700000 	   2.886146
         24 	  12.243493 	  10.900000 	  -1.343493 	   0.700000 	  -1.919275
         25 	   1.169356 	   0.640000 	  -0.529356 	   0.010000 	 -52.935620
         26 	   0.364664 	   0.000000 	  -0.364664 	   0.000000 	       -Inf
         27 	   0.000000 	   0.000000 	  -0.000000 	   0.000000 	       -Inf
         28 	  -0.000000 	   0.000000 	   0.000000 	   0.000000 	        Inf
